2022-10-16 11:30:52,253 |     INFO | Сообщение отправлено
2022-10-16 11:30:52,253 |  WARNING | Большая нагрузка!
2022-10-16 11:30:52,253 |    ERROR | Бот не смог отправить сообщение
2022-10-16 11:30:52,253 | CRITICAL | Всё упало! Зовите админа!1!111
2022-10-16 11:30:54,527 |     INFO | Discovery 4
2022-10-16 11:30:54,527 |    DEBUG | Discovery 4
2022-10-16 11:30:54,568 |     INFO | 6
2022-10-16 11:30:54,569 |    DEBUG | <QuerySet [<Product: Бампер>, <Product: Болт>, <Product: Гайка>]>
2022-10-16 11:31:00,970 |     INFO | None
2022-10-16 11:31:03,292 |     INFO | Discovery 4
2022-10-16 11:31:03,292 |    DEBUG | Discovery 4
2022-10-16 11:31:03,334 |     INFO | 6
2022-10-16 11:31:03,336 |    DEBUG | <QuerySet [<Product: Бампер>, <Product: Болт>, <Product: Гайка>]>
2022-10-16 11:31:11,760 |     INFO | Discovery 3
2022-10-16 11:31:11,761 |    DEBUG | Discovery 3
2022-10-16 11:31:11,808 |     INFO | 5
2022-10-16 11:31:11,810 |    DEBUG | <QuerySet [<Product: Бампер>, <Product: Болт>, <Product: Гайка>]>
2022-10-16 11:31:26,524 |    DEBUG | 123
2022-10-16 11:31:26,524 |     INFO | Сообщение отправлено
2022-10-16 11:31:26,524 |  WARNING | Большая нагрузка!
2022-10-16 11:31:26,525 |    ERROR | Бот не смог отправить сообщение
2022-10-16 11:31:26,525 | CRITICAL | Всё упало! Зовите админа!1!111
2022-10-16 11:31:28,654 |    DEBUG | Discovery 3
2022-10-16 11:31:28,699 |     INFO | 5
2022-10-16 11:31:28,700 |    DEBUG | <QuerySet [<Product: Бампер>, <Product: Болт>, <Product: Гайка>]>
2022-10-16 11:31:31,397 |    DEBUG | Discovery 3
2022-10-16 11:31:31,439 |     INFO | 5
2022-10-16 11:31:31,441 |    DEBUG | <QuerySet [<Product: Бампер>, <Product: Болт>, <Product: Гайка>]>
2022-10-16 11:31:57,179 |    DEBUG | Discovery 4
2022-10-16 11:31:57,222 |     INFO | 6
2022-10-16 11:31:57,223 |    DEBUG | <QuerySet [<Product: Бампер>, <Product: Болт>, <Product: Гайка>]>
2022-10-16 11:32:26,120 |    DEBUG | 123
2022-10-16 11:32:26,120 |     INFO | Сообщение отправлено
2022-10-16 11:32:26,120 |  WARNING | Большая нагрузка!
2022-10-16 11:32:26,120 |    ERROR | Бот не смог отправить сообщение
2022-10-16 11:32:26,120 | CRITICAL | Всё упало! Зовите админа!1!111
2022-10-16 11:32:28,363 |    DEBUG | Discovery 3
2022-10-16 11:32:28,400 |     INFO | 5
2022-10-16 11:32:28,400 |    DEBUG | <QuerySet [<Product: Бампер>, <Product: Болт>, <Product: Гайка>]>
2022-10-16 11:32:30,780 |    DEBUG | Discovery 5
2022-10-16 11:32:30,820 |     INFO | 7
2022-10-16 11:32:30,821 |    DEBUG | <QuerySet [<Product: Бампер>, <Product: Болт>, <Product: Гайка>]>
2022-10-16 11:32:32,877 |    DEBUG | Discovery 4
2022-10-16 11:32:32,917 |     INFO | 6
2022-10-16 11:32:32,918 |    DEBUG | <QuerySet [<Product: Бампер>, <Product: Болт>, <Product: Гайка>]>
2022-10-16 11:32:50,027 |    DEBUG | 123
2022-10-16 11:32:50,027 |     INFO | Сообщение отправлено
2022-10-16 11:32:50,027 |  WARNING | Большая нагрузка!
2022-10-16 11:32:50,027 |    ERROR | Бот не смог отправить сообщение
2022-10-16 11:32:50,027 | CRITICAL | Всё упало! Зовите админа!1!111
2022-10-16 11:33:08,621 |    DEBUG | 123
2022-10-16 11:33:08,621 |     INFO | Сообщение отправлено
2022-10-16 11:33:08,621 |  WARNING | Большая нагрузка!
2022-10-16 11:33:08,621 |    ERROR | Бот не смог отправить сообщение
2022-10-16 11:33:08,621 | CRITICAL | Всё упало! Зовите админа!1!111
2022-10-16 11:33:17,084 |    DEBUG | 123
2022-10-16 11:33:17,084 |     INFO | Сообщение отправлено
2022-10-16 11:33:17,084 |  WARNING | Большая нагрузка!
2022-10-16 11:33:17,084 |    ERROR | Бот не смог отправить сообщение
2022-10-16 11:33:17,084 | CRITICAL | Всё упало! Зовите админа!1!111
2022-10-16 11:33:23,314 |    DEBUG | <QuerySet [<Product: Бампер>, <Product: Болт>, <Product: Гайка>]>
2022-10-16 11:33:25,626 |    DEBUG | <QuerySet [<Product: Бампер>, <Product: Болт>, <Product: Гайка>]>
2022-10-16 11:33:27,921 |    DEBUG | <QuerySet [<Product: Бампер>, <Product: Болт>, <Product: Гайка>]>
